Nombre,Fecha,4G Health,4G Accessibility,4G Availability,4G Integrity,4G Mobility,4G Resource,4G Retainability
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"2/03/16, 23:00",97.88%,99.35%,98.78%,94.39%,96.78%,97.96%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"3/03/16, 00:00",98.07%,99.75%,98.15%,94.39%,97.34%,98.78%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"3/03/16, 01:00",98.06%,99.41%,99.77%,93.00%,97.09%,99.07%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"3/03/16, 02:00",98.99%,99.74%,99.31%,98.83%,96.96%,99.07%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"3/03/16, 03:00",99.18%,99.89%,99.88%,99.39%,96.95%,98.96%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"3/03/16, 04:00",99.37%,99.76%,100.00%,99.78%,97.63%,99.07%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"3/03/16, 05:00",98.98%,99.80%,100.00%,97.89%,97.24%,98.96%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"3/03/16, 06:00",99.32%,99.90%,100.00%,99.78%,97.26%,98.96%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"3/03/16, 07:00",98.62%,99.63%,100.00%,99.50%,97.06%,95.52%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"3/03/16, 08:00",98.40%,99.63%,98.61%,99.61%,97.17%,95.37%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"2/03/16, 13:00",98.89%,99.69%,100.00%,99.50%,96.41%,97.72%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"2/03/16, 14:00",98.29%,99.66%,100.00%,96.19%,96.39%,97.50%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"2/03/16, 15:00",98.31%,99.64%,99.31%,99.30%,96.34%,95.28%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"2/03/16, 16:00",98.79%,98.94%,100.00%,99.36%,96.26%,98.17%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"2/03/16, 17:00",98.85%,99.76%,100.00%,99.12%,96.06%,98.17%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"2/03/16, 18:00",98.84%,99.60%,100.00%,99.30%,96.42%,97.72%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"2/03/16, 19:00",98.58%,99.72%,99.65%,97.51%,96.43%,98.19%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"2/03/16, 20:00",98.57%,99.60%,100.00%,97.51%,96.57%,97.75%,100.00%
MobileAccess_4G_1_4G_Access_Site_MONPLAISIR,"2/03/16, 21:00",98.81%,99.06%,100.00%,99.11%,96.47%,98.19%,100.00%
